clusters s_obs df nc mu std redshift d_ref kt_scale
A2029 0.2697062460383373 339.9697144637528 0.06616248336209467 -0.0044475772405066505 0.05369815452916181 0.078000002 353.69375616191246 0.8967904548378033
A0478 0.24160245268553304 339.9677847565298 0.15583214381260196 -0.005992892513107119 0.06599039295678841 0.088 401.7898248707874 0.8606934210806869
PKS0745 0.37225483468598464 16.794227604155047 -3.8729867008706913 0.22761601734581532 0.059236017392639215 0.103 475.0616629413163 0.9326003020108651
A2204 -0.05970814753231592 4.162643626728423 1.056318278374208 -0.041019585895911426 0.03699880262442781 0.152 723.5845118034334 0.8499260720688757
M2129 0.17372201987440253 3.9406191805440303 0.8246004167793245 -0.06166626276133451 0.075578987069924 0.235 1174.8027870661804 0.9877716649839489
A1835 0.10407718253802807 4.085627830860457 0.33773730024148957 -0.020805592774094942 0.058726853399541826 0.252 1271.6432246711236 0.9340233365976645
M2140 0.07652400120364389 2.061024999827053 0.2556688723659983 -0.015683342123768595 0.05329954643195252 0.31299999 1630.7205185581133 0.7892516312487842
M1931 -0.042091591784564265 3.819961983632313 0.5739812137485897 -0.03568131032022755 0.06581754797457146 0.352 1869.3495458701875 0.8545187631985314
M1115 0.238739539174766 4.484328415003851 0.7484325215093627 -0.05796515922808439 0.07572880436138119 0.35499999 1887.9858159780174 0.932222220220598
M1532 0.29817569628864465 4.04245236078791 0.44953630344963735 -0.025199309223284998 0.07203314424861632 0.36300001 1937.8745246639812 0.928496746458922
M1720 0.16743919511400085 9.036739173082566 0.3645667692045598 -0.03949959286238942 0.15061549693715665 0.391 2114.6450531895516 0.8896075747722327
M0429 -0.02619120466877276 4.9427441737149955 0.45053666878255366 -0.05648707942149145 0.1238774851707656 0.39899999 2165.75696262903 0.9638683286144264
M1347 0.15995971750660193 13.222764344264583 0.31865499233791517 -0.014708396523769783 0.04779561489824427 0.45100001 2504.3150678843963 0.7631618273313902
M1423 0.13575575439657833 3.38779364694798 1.153281078715385 -0.06909232572949348 0.058605570827530665 0.54299998 3128.5473976586013 0.7187961097699559
